c Вес дерева 2940.0, самое длинное ребро = 87
p edge 128
e 1 98
e 1 110
e 1 60
e 2 25
e 2 82
e 2 5
e 3 110
e 3 41
e 3 92
e 4 94
e 4 126
e 4 49
e 5 118
e 5 25
e 6 82
e 6 70
e 6 41
e 7 13
e 7 30
e 7 27
e 8 31
e 8 46
e 8 95
e 9 44
e 9 47
e 9 39
e 10 48
e 10 114
e 10 121
e 11 122
e 11 45
e 11 93
e 12 93
e 12 58
e 12 59
e 13 115
e 13 80
e 14 40
e 14 69
e 14 105
e 15 109
e 15 122
e 15 45
e 16 21
e 16 116
e 16 77
e 17 97
e 17 64
e 17 115
e 18 74
e 18 65
e 18 42
e 19 71
e 19 79
e 19 21
e 20 104
e 20 53
e 20 106
e 21 65
e 22 85
e 22 54
e 22 126
e 23 103
e 23 47
e 23 34
e 24 60
e 24 98
e 24 110
e 25 84
e 26 100
e 26 87
e 26 106
e 27 54
e 27 30
e 28 106
e 28 63
e 28 87
e 29 46
e 29 51
e 29 107
e 30 85
e 31 46
e 31 102
e 32 128
e 32 124
e 32 69
e 33 58
e 33 75
e 33 93
e 34 120
e 34 118
e 35 77
e 35 116
e 35 121
e 36 128
e 36 124
e 36 91
e 37 68
e 37 121
e 37 77
e 38 86
e 38 107
e 38 76
e 39 112
e 39 44
e 40 105
e 40 69
e 41 82
e 42 74
e 42 52
e 43 94
e 43 71
e 43 113
e 44 125
e 45 90

e 47 120
e 48 76
e 48 114
e 49 55
e 49 94
e 50 104
e 50 111
e 50 119
e 51 81
e 51 57
e 52 74
e 52 122
e 53 104
e 53 63
e 54 85
e 55 123
e 55 71
e 56 67
e 56 68
e 56 116
e 57 81
e 57 86
e 58 96
e 59 91
e 59 108
e 60 70
e 61 84
e 61 70
e 61 118
e 62 92
e 62 100
e 62 87
e 63 100
e 64 89
e 64 115
e 65 88
e 66 78
e 66 88
e 66 105
e 67 112
e 67 125
e 68 72



e 72 114
e 72 73
e 73 125
e 73 83

e 75 91
e 75 96
e 76 78

e 78 109
e 79 113
e 79 96
e 80 97
e 80 123
e 81 86

e 83 107
e 83 95
e 84 92



e 88 109
e 89 123
e 89 99
e 90 108
e 90 124




e 95 102

e 97 127
e 98 111
e 99 101
e 99 127

e 101 127
e 101 119
e 102 128
e 103 120
e 103 117




e 108 117


e 111 119
e 112 117
e 113 126















