c Вес дерева 32431.0, самое длинное ребро = 721
p edge 512
e 1 200
e 1 474
e 1 145
e 2 302
e 2 321
e 2 171
e 3 24
e 3 461
e 3 314
e 4 91
e 4 405
e 4 416
e 5 354
e 5 291
e 5 423
e 6 121
e 6 423
e 6 69
e 7 446
e 7 107
e 7 406
e 8 237
e 8 28
e 8 473
e 9 276
e 9 377
e 9 249
e 10 190
e 10 321
e 10 410
e 11 81
e 11 451
e 11 64
e 12 311
e 12 343
e 12 232
e 13 170
e 13 61
e 13 348
e 14 402
e 14 196
e 14 60
e 15 91
e 15 382
e 15 24
e 16 97
e 16 188
e 16 204
e 17 53
e 17 398
e 17 320
e 18 182
e 18 431
e 18 418
e 19 448
e 19 261
e 19 219
e 20 56
e 20 189
e 20 404
e 21 32
e 21 180
e 21 171
e 22 426
e 22 480
e 22 280
e 23 431
e 23 240
e 23 353
e 24 478
e 25 432
e 25 191
e 25 331
e 26 186
e 26 267
e 26 443
e 27 483
e 27 511
e 27 481
e 28 459
e 28 127
e 29 352
e 29 480
e 29 510
e 30 487
e 30 483
e 30 472
e 31 373
e 31 311
e 31 386
e 32 45
e 32 107
e 33 176
e 33 363
e 33 368
e 34 212
e 34 50
e 34 476
e 35 180
e 35 261
e 35 107
e 36 353
e 36 116
e 36 240
e 37 63
e 37 234
e 37 148
e 38 310
e 38 129
e 38 239
e 39 160
e 39 170
e 39 410
e 40 349
e 40 278
e 40 166
e 41 279
e 41 376
e 41 328
e 42 399
e 42 91
e 42 232
e 43 124
e 43 481
e 43 443
e 44 434
e 44 86
e 44 250
e 45 142
e 45 285
e 46 203
e 46 391
e 46 336
e 47 112
e 47 60
e 47 342
e 48 431
e 48 356
e 48 306
e 49 181
e 49 67
e 49 457
e 50 274
e 50 52
e 51 148
e 51 351
e 51 428
e 52 113
e 52 212
e 53 437
e 53 389
e 54 453
e 54 493
e 54 454
e 55 330
e 55 233
e 55 280
e 56 260
e 56 68
e 57 168
e 57 396
e 57 395
e 58 439
e 58 138
e 58 299
e 59 261
e 59 104
e 59 244
e 60 272
e 61 344
e 61 446
e 62 93
e 62 504
e 62 220
e 63 295
e 63 455
e 64 111
e 64 487
e 65 224
e 65 202
e 65 384
e 66 450
e 66 353
e 66 203
e 67 457
e 67 135
e 68 404
e 68 320
e 69 206
e 69 214
e 70 427
e 70 176
e 70 110
