c Вес дерева 32769.0, самое длинное ребро = 412
p edge 512
e 1 145
e 1 263
e 1 101
e 2 171
e 2 270
e 2 265
e 3 183
e 3 399
e 3 211
e 4 315
e 4 15
e 4 386
e 5 405
e 5 31
e 5 311
e 6 429
e 6 301
e 6 355
e 7 285
e 7 32
e 7 345
e 8 187
e 8 117
e 8 341
e 9 318
e 9 270
e 9 242
e 10 61
e 10 356
e 10 458
e 11 134
e 11 25
e 11 362
e 12 311
e 12 232
e 12 253
e 13 155
e 13 348
e 13 234
e 14 342
e 14 60
e 14 318
e 15 467
e 15 92
e 16 267
e 16 23
e 16 362
e 17 90
e 17 320
e 17 271
e 18 425
e 18 362
e 18 64
e 19 265
e 19 285
e 19 226
e 20 452
e 20 68
e 20 53
e 21 174
e 21 285
e 21 45
e 22 129
e 22 29
e 22 236
e 23 40
e 23 431
e 24 416
e 24 429
e 24 130
e 25 353
e 25 81
e 26 124
e 26 331
e 26 319
e 27 32
e 27 251
e 27 43
e 28 308
e 28 165
e 28 167
e 29 330
e 29 510
e 30 353
e 30 186
e 30 43
e 31 373
e 31 147
e 32 107
e 33 363
e 33 368
e 33 100
e 34 144
e 34 243
e 34 380
e 35 107
e 35 219
e 35 329
e 36 451
e 36 182
e 36 191
e 37 263
e 37 351
e 37 348
e 38 462
e 38 275
e 38 131
e 39 98
e 39 87
e 39 155
e 40 481
e 40 240
e 41 276
e 41 163
e 41 108
e 42 232
e 42 429
e 42 138
e 43 443
e 44 433
e 44 106
e 44 86
e 45 365
e 45 458
e 46 482
e 46 115
e 46 111
e 47 470
e 47 60
e 47 460
e 48 134
e 48 124
e 48 303
e 49 67
e 49 135
e 49 189
e 50 51
e 50 482
e 50 52
e 51 52
e 51 274
e 52 274
e 53 398
e 53 471
e 54 187
e 54 120
e 54 237
e 55 293
e 55 275
e 55 99
e 56 404
e 56 490
e 56 260
e 57 395
e 57 266
e 57 185
e 58 413
e 58 492
e 58 299
e 59 279
e 59 244
e 59 421
e 60 460
e 61 246
e 61 412
e 62 150
e 62 215
e 62 428
e 63 145
e 63 200
e 63 220
e 64 319
e 64 353
e 65 328
e 65 75
e 65 325
e 66 191
e 66 476
e 66 182
e 67 135
e 67 457
e 68 398
e 68 221
e 69 158
e 69 355
e 69 512
e 70 110
e 70 88
e 70 194
e 71 160
e 71 155
e 71 393
e 72 199
e 72 270
e 72 322
e 73 253
e 73 139
e 73 248
e 74 101
e 74 290
e 74 394
e 75 225
e 75 224
e 76 388
e 76 457
e 76 173
e 77 496
e 77 111
e 77 294
e 78 411
e 78 90
e 78 115
e 79 216
e 79 430
e 79 170
e 80 244
e 80 207
e 80 385
e 81 483
e 81 112
e 82 344
e 82 331
e 82 356
e 83 322
e 83 114
e 83 242
e 84 405
e 84 416
e 84 291
e 85 109
e 85 438
e 85 273
e 86 106
e 86 165
e 87 97
e 87 483
e 88 424
e 88 427
e 89 157
e 89 95
e 89 144
e 90 491
e 91 130
e 91 478
e 91 299
e 92 147
e 92 259
e 93 156
e 93 504
e 93 466
e 94 201
e 94 323
e 94 136
e 95 188
e 95 193
e 96 109
e 96 437
e 96 490
e 97 252
e 97 415
e 98 170
e 98 393
e 99 293
e 99 330
e 100 105
e 100 363
e 101 263
e 102 371
e 102 396
e 102 368
e 103 233
e 103 258
e 103 360
e 104 199
e 104 496
e 104 503
e 105 390
e 105 368
e 106 126
e 107 421
e 108 509
e 108 179
e 109 320
e 110 176
e 110 390
e 111 456
e 112 294
e 112 317
e 113 216
e 113 172
e 113 125
e 114 408
e 114 496
e 115 476
e 116 451
e 116 267
e 116 450
e 117 250
e 117 288
e 118 379
e 118 153
e 118 313
e 119 221
e 119 375
e 119 125
e 120 422
e 120 493
e 121 355
e 121 489
e 121 227
e 122 485
e 122 230
e 122 383
e 123 260
e 123 189
e 123 471
e 124 483
e 125 212
e 126 283
e 126 269
e 127 296
e 127 435
e 127 395
e 128 132
e 128 213
e 128 223
e 129 293
e 129 426
e 130 405
e 131 149
e 131 268
e 132 241
e 132 357
e 133 511
e 133 251
e 133 509
e 134 456
e 135 490
e 136 491
e 136 495
e 137 397
e 137 450
e 137 203
e 138 200
e 138 439
e 139 310
e 139 149
e 140 332
e 140 208
e 140 273
e 141 495
e 141 277
e 141 445
e 142 197
e 142 458
e 142 446
e 143 472
e 143 267
e 143 432
e 144 391
e 145 444
e 146 367
e 146 265
e 146 261
e 147 464
e 148 444
e 148 348
e 148 150
e 149 360
e 150 444
e 151 324
e 151 231
e 151 495
e 152 275
e 152 262
e 152 164
e 153 392
e 153 379
e 154 308
e 154 488
e 154 422

e 156 316
e 156 466
e 157 391
e 157 203
e 158 507
e 158 337
e 159 372
e 159 201
e 159 277
e 160 209
e 160 410
e 161 418
e 161 166
e 161 191
e 162 254
e 162 344
e 162 410
e 163 503
e 163 219
e 164 505
e 164 310
e 165 358
e 166 349
e 166 222
e 167 498
e 167 435
e 168 194
e 168 395
e 168 435
e 169 422
e 169 468
e 169 213
e 170 286
e 171 245
e 171 511
e 172 430
e 172 428
e 173 281
e 173 447
e 174 319
e 174 365
e 175 357
e 175 292
e 175 235
e 176 417
e 176 480
e 177 268
e 177 343
e 177 253
e 178 195
e 178 320
e 178 350
e 179 302
e 179 298
e 180 345
e 180 509
e 180 334
e 181 273
e 181 335
e 181 447
e 182 188
e 183 409
e 183 264
e 184 313
e 184 381
e 184 241
e 185 266
e 185 459
e 186 487
e 186 443
e 187 381
e 188 254
e 189 437
e 190 472
e 190 410
e 190 344

e 192 373
e 192 343
e 192 505
e 193 451
e 193 397
e 194 417
e 195 277
e 195 374
e 196 318
e 196 402
e 196 364
e 197 238
e 197 446
e 198 276
e 198 376
e 198 312
e 199 312
e 200 229
e 201 491
e 202 207
e 202 325
e 202 507
e 203 240
e 204 502
e 204 412
e 204 252
e 205 425
e 205 481
e 205 456
e 206 489
e 206 310
e 206 268
e 207 244
e 208 335
e 208 332
e 209 406
e 209 494
e 210 278
e 210 306
e 210 240
e 211 413
e 211 478
e 212 274
e 212 243
e 213 493
e 214 508
e 214 333
e 214 337
e 215 466
e 215 220
e 216 304
e 217 346
e 217 469
e 217 407
e 218 345
e 218 370
e 218 421
e 219 419
e 220 428
e 221 398
e 222 460
e 222 470
e 223 445
e 223 468
e 224 433
e 224 498
e 225 269
e 225 473
e 226 376
e 226 408
e 227 232
e 227 489
e 228 366
e 228 258
e 228 507
e 229 300
e 229 439
e 230 262
e 230 480
e 231 374
e 231 389

e 233 258
e 233 283
e 234 347
e 234 500
e 235 468
e 235 292
e 236 480
e 236 280
e 237 506
e 237 454
e 238 365
e 238 246
e 239 305
e 239 505
e 239 337

e 241 445
e 242 256
e 243 394

e 245 302
e 245 477
e 246 370
e 247 341
e 247 250
e 247 288
e 248 311
e 248 373
e 249 402
e 249 377
e 249 276
e 250 339
e 251 302
e 252 254


e 255 470
e 255 342
e 255 336
e 256 312
e 256 342
e 257 360
e 257 512
e 257 291

e 259 382
e 259 354
e 260 372
e 261 477
e 261 367
e 262 330

e 264 416
e 264 413

e 266 433


e 269 288

e 271 281
e 271 438
e 272 317
e 272 364
e 272 361





e 278 443
e 278 418
e 279 384
e 279 377
e 280 369
e 280 363
e 281 404
e 282 439
e 282 299
e 282 474
e 283 385
e 284 411
e 284 463
e 284 452

e 286 500
e 286 497
e 287 394
e 287 295
e 287 504

e 289 352
e 289 371
e 289 485
e 290 504
e 290 316
e 291 478
e 292 392

e 294 322
e 295 475
e 295 455
e 296 506
e 296 454
e 297 404
e 297 380
e 297 359
e 298 436
e 298 481

e 300 492
e 300 409
e 301 494
e 301 393

e 303 425
e 303 450
e 304 356
e 304 487
e 305 501
e 305 366
e 306 476
e 306 349
e 307 403
e 307 492
e 307 338
e 308 459
e 309 372
e 309 437
e 309 389



e 313 488
e 314 401
e 314 399
e 314 315
e 315 399
e 316 455
e 317 400



e 321 334
e 321 436
e 321 446

e 323 358
e 323 341
e 324 449
e 324 358
e 325 469
e 326 336
e 326 482
e 326 327
e 327 402
e 327 328
e 328 377
e 329 334
e 329 436

e 331 472
e 332 440
e 333 508
e 333 366

e 335 447
e 336 349

e 338 475
e 338 474
e 339 459
e 339 498
e 340 352
e 340 383
e 340 369


