c Вес дерева 33271.0, самое длинное ребро = 838
p edge 512
e 1 148
e 1 37
e 1 444
e 2 179
e 2 285
e 2 171
e 3 300
e 3 314
e 3 492
e 4 382
e 4 211
e 4 15
e 5 130
e 5 15
e 5 373
e 6 512
e 6 257
e 6 69
e 7 345
e 7 218
e 7 448
e 8 117
e 8 165
e 8 250
e 9 276
e 9 496
e 9 196
e 10 356
e 10 344
e 10 190
e 11 64
e 11 23
e 11 81
e 12 423
e 12 311
e 12 253
e 13 155
e 13 348
e 13 216
e 14 402
e 14 470
e 14 47
e 15 354
e 16 30
e 16 418
e 16 18
e 17 189
e 17 53
e 17 398
e 18 23
e 18 48
e 19 180
e 19 32
e 19 367
e 20 411
e 20 90
e 20 68
e 21 285
e 21 32
e 21 345
e 22 236
e 22 230
e 22 99
e 23 431
e 24 405
e 24 130
e 24 147
e 25 134
e 25 362
e 25 418
e 26 30
e 26 502
e 26 472
e 27 302
e 27 370
e 27 179
e 28 54
e 28 184
e 28 44
e 29 363
e 29 275
e 29 105
e 30 143
e 31 373
e 31 253
e 31 248
e 32 421
e 33 510
e 33 100
e 33 275
e 34 50
e 34 155
e 34 113
e 35 218
e 35 180
e 35 376
e 36 116
e 36 191
e 36 240
e 37 351
e 37 170
e 38 152
e 38 55
e 38 426
e 39 209
e 39 512
e 39 155
e 40 451
e 40 222
e 40 191
e 41 328
e 41 198
e 41 276
e 42 354
e 42 429
e 42 264
e 43 294
e 43 134
e 43 298
e 44 167
e 44 459
e 45 179
e 45 421
e 45 246
e 46 203
e 46 161
e 46 482
e 47 256
e 47 496
e 48 431
e 48 240
e 49 67
e 49 123
e 49 181
e 50 274
e 50 359
e 51 148
e 51 375
e 51 234
e 52 391
e 52 359
e 52 157
e 53 68
e 53 398
e 54 292
e 54 493
e 55 275
e 55 330
e 56 471
e 56 398
e 56 490
e 57 395
e 57 127
e 57 435
e 58 315
e 58 307
e 58 492
e 59 328
e 59 244
e 59 163
e 60 312
e 60 408
e 60 349
e 61 446
e 61 252
e 61 458
e 62 220
e 62 504
e 62 93
e 63 229
e 63 282
e 63 316
e 64 294
e 64 134
e 65 325
e 65 80
e 65 202
e 66 450
e 66 451
e 66 278
e 67 181
e 67 447
e 68 438
e 69 355
e 69 301
e 70 368
e 70 407
e 70 396
e 71 512
e 71 162
e 71 98
e 72 456
e 72 108
e 72 322
e 73 343
e 73 192
e 73 239
e 74 444
e 74 145
e 74 290
e 75 276
e 75 377
e 75 225
e 76 332
e 76 140
e 76 215
e 77 205
e 77 294
e 77 111
e 78 463
e 78 411
e 78 452
e 79 234
e 79 500
e 79 351
e 80 385
e 80 325
e 81 267
e 81 353
e 82 487
e 82 321
e 82 472
e 83 242
e 83 364
e 83 272
e 84 467
e 84 354
e 84 464
e 85 173
e 85 411
e 85 274
e 86 126
e 86 498
e 86 473
e 87 143
e 87 418
e 87 204
e 88 168
e 88 424
e 88 396
e 89 347
e 89 137
e 89 482
e 90 201
e 90 350
e 91 403
e 91 264
e 91 299
e 92 248
e 92 416
e 92 464
e 93 287
e 93 295
e 94 324
e 94 277
e 94 231
e 95 306
e 95 476
e 95 182
e 96 490
e 96 189
e 96 309
e 97 252
e 97 472
e 97 188
e 98 500
e 98 497
e 99 462
e 99 293
e 100 368
e 100 371
e 101 148
e 101 475
e 101 348
e 102 371
e 102 369
e 102 105
e 103 305
e 103 330
e 103 507
e 104 198
e 104 146
e 104 367
e 105 480
e 106 459
e 106 484
e 106 269
e 107 511
e 107 218
e 107 197
e 108 322
e 108 199
e 109 189
e 109 173
e 109 271
e 110 383
e 110 396
e 110 289
e 111 456
e 111 483
e 112 425
e 112 477
e 112 361
e 113 428
e 113 144
e 114 408
e 114 272
e 114 270
e 115 336
e 115 397
e 115 326
e 116 161
e 116 191
e 117 250
e 117 255
e 118 387
e 118 488
e 118 313
e 119 212
e 119 447
e 119 335
e 120 468
e 120 292
e 120 493
e 121 227
e 121 423
e 121 311
e 122 442
e 122 371
e 122 363
e 123 260
e 123 271
e 124 483
e 124 481
e 124 356
e 125 212
e 125 447
e 125 281
e 126 225
e 126 249
e 127 459
e 127 165
e 128 357
e 128 422
e 128 153
e 129 262
e 129 293
e 129 164
e 130 382
e 131 239
e 131 248
e 131 206
e 132 379
e 132 422
e 132 153
e 133 265
e 133 251
e 133 245

e 135 173
e 135 490
e 135 457
e 136 491
e 136 231
e 136 350
e 137 203
e 137 450
e 138 401
e 138 282
e 138 299
e 139 257
e 139 311
e 139 505
e 140 486
e 140 332
e 141 324
e 141 495
e 141 277
e 142 171
e 142 365
e 142 321
e 143 502
e 144 482
e 144 193
e 145 444
e 145 282
e 146 367
e 146 245
e 147 464
e 147 259

e 149 489
e 149 305
e 149 257
e 150 475
e 150 229
e 150 295
e 151 324
e 151 341
e 151 323
e 152 239
e 152 360
e 153 379
e 154 308
e 154 465
e 154 213

e 156 466
e 156 287
e 156 295
e 157 203
e 157 391
e 158 305
e 158 333
e 158 507
e 159 350
e 159 195
e 159 491
e 160 430
e 160 216
e 160 162
e 161 425
e 162 415
e 163 376
e 163 226
e 164 310
e 164 253
e 165 341
e 166 425
e 166 303
e 166 400
e 167 473
e 167 185
e 168 424
e 168 427
e 169 235
e 169 223
e 169 175
e 170 286
e 170 216
e 171 265
e 172 243
e 172 428
e 172 375

e 174 370
e 174 511
e 174 219
e 175 313
e 175 392
e 176 510
e 176 485
e 176 363
e 177 505
e 177 192
e 177 343
e 178 372
e 178 309
e 178 491

e 180 329
e 181 388
e 182 306
e 182 476
e 183 492
e 183 315
e 183 409
e 184 313
e 184 235
e 185 395
e 185 454
e 186 436
e 186 205
e 186 456
e 187 488
e 187 288
e 187 237
e 188 353
e 188 254

e 190 252
e 190 356

e 192 429
e 193 210
e 193 431
e 194 390
e 194 442
e 194 427
e 195 374
e 195 389
e 196 342
e 196 402
e 197 446
e 197 329
e 198 279
e 199 317
e 199 322
e 200 500
e 200 474
e 200 401
e 201 277
e 201 309
e 202 207
e 202 228

e 204 415
e 204 410
e 205 317
e 206 268
e 206 360
e 207 494
e 207 508
e 208 332
e 208 316
e 208 466
e 209 509
e 209 406
e 210 306
e 210 240
e 211 409
e 211 413
e 212 375
e 213 454
e 213 468
e 214 333
e 214 268
e 214 508
e 215 290
e 215 504

e 217 433
e 217 424
e 217 442

e 219 376
e 219 419
e 220 338
e 220 290
e 221 281
e 221 380
e 221 404
e 222 400
e 222 303
e 223 468
e 223 445
e 224 498
e 224 484
e 224 433
e 225 484
e 226 370
e 226 448
e 227 355
e 227 373
e 228 233
e 228 366
e 229 299
e 230 368
e 230 480
e 231 495
e 232 429
e 232 264
e 232 413
e 233 325
e 233 283
e 234 286
e 235 454
e 236 280
e 236 289
e 237 250
e 237 488
e 238 304
e 238 344
e 238 246


e 241 292
e 241 422
e 241 323
e 242 477
e 242 419
e 243 391
e 243 428
e 244 499
e 244 494
e 245 302
e 246 329
e 247 434
e 247 288
e 247 452

e 249 328
e 249 408

e 251 285
e 251 265


e 254 487
e 254 412
e 255 402
e 255 342
e 256 342
e 256 496

e 258 441
e 258 385
e 258 346
e 259 291
e 259 405
e 260 389
e 260 372
e 261 509
e 261 270
e 261 419
e 262 346
e 262 330
e 263 348
e 263 351
e 263 475


e 266 427
e 266 433
e 266 308
e 267 353
e 267 487
e 268 423
e 269 336
e 269 349
e 270 302
e 271 281
e 272 312
e 273 335
e 273 388
e 273 438
e 274 420



e 278 451
e 278 443
e 279 509
e 279 448
e 280 352
e 280 293


e 283 417
e 283 479
e 284 336
e 284 380
e 284 463

e 286 497
e 287 335
e 288 449
e 289 480

e 291 416
e 291 405




e 296 341
e 296 381
e 296 453
e 297 359
e 297 420
