c Вес дерева 2796.0, самое длинное ребро = 90
p edge 128
e 1 110
e 1 70
e 1 60
e 2 6
e 2 25
e 2 82
e 3 92
e 3 41
e 3 26
e 4 49
e 4 126
e 4 55
e 5 6
e 5 118
e 5 25
e 6 82
e 7 13
e 7 27
e 7 54
e 8 57
e 8 31
e 8 102
e 9 39
e 9 44
e 9 67
e 10 73
e 10 48
e 10 121
e 11 90
e 11 45
e 11 93
e 12 58
e 12 33
e 12 75
e 13 123
e 13 115
e 14 69
e 14 88
e 14 40
e 15 109
e 15 45
e 15 40
e 16 116
e 16 77
e 16 21
e 17 97
e 17 80
e 17 115
e 18 74
e 18 65
e 18 88
e 19 21
e 19 113
e 19 71
e 20 53
e 20 28
e 20 104
e 21 77
e 22 85
e 22 54
e 22 30
e 23 103
e 23 118
e 23 44
e 24 98
e 24 70
e 24 60
e 25 61
e 26 28
e 26 87
e 27 113
e 27 30
e 28 53
e 29 46
e 29 51
e 29 81
e 30 85
e 31 46
e 31 102
e 32 69
e 32 90
e 32 124
e 33 59
e 33 75
e 34 118
e 34 103
e 34 120
e 35 121
e 35 116
e 35 37
e 36 69
e 36 91
e 36 124
e 37 68
e 37 72
e 38 107
e 38 48
e 38 76
e 39 112
e 39 67
e 40 88
e 41 82
e 41 110
e 42 74
e 42 45
e 42 52
e 43 94
e 43 126
e 43 71
e 44 125

e 46 102
e 47 120
e 47 103
e 47 73
e 48 107
e 49 55
e 49 71
e 50 111
e 50 119
e 50 106
e 51 86
e 51 57
e 52 122
e 52 74
e 53 106
e 54 85
e 55 94
e 56 116
e 56 67
e 56 68
e 57 81
e 58 93
e 58 96
e 59 93
e 59 91
e 60 70
e 61 92
e 61 84
e 62 92
e 62 87
e 62 110
e 63 106
e 63 104
e 63 100
e 64 89
e 64 115
e 64 123
e 65 109
e 65 66
e 66 109
e 66 105

e 68 121



e 72 73
e 72 125


e 75 96
e 76 114
e 76 78
e 77 117
e 78 86
e 78 105
e 79 96
e 79 113
e 79 91
e 80 97
e 80 123
e 81 86

e 83 107
e 83 114
e 83 95
e 84 98
e 84 87




e 89 99
e 89 101
e 90 108



e 94 126
e 95 114
e 95 117

e 97 127
e 98 111
e 99 101
e 99 127
e 100 104
e 100 108
e 101 127



e 105 128


e 108 124


e 111 119
e 112 120
e 112 125




e 117 128

e 119 122


e 122 128






