c Вес дерева 2822.0, самое длинное ребро = 85
p edge 128
e 1 110
e 1 70
e 1 41
e 2 70
e 2 82
e 2 61
e 3 41
e 3 62
e 3 92
e 4 126
e 4 85
e 4 49
e 5 118
e 5 6
e 5 103
e 6 82
e 6 118
e 7 13
e 7 27
e 7 123
e 8 102
e 8 31
e 8 46
e 9 120
e 9 39
e 9 37
e 10 114
e 10 73
e 10 121
e 11 122
e 11 45
e 11 90
e 12 33
e 12 59
e 12 58
e 13 115
e 13 123
e 14 40
e 14 69
e 14 109
e 15 45
e 15 40
e 15 109
e 16 35
e 16 116
e 16 77
e 17 97
e 17 80
e 17 115
e 18 65
e 18 74
e 18 88
e 19 79
e 19 22
e 19 21
e 20 106
e 20 53
e 20 26
e 21 65
e 21 77
e 22 85
e 22 54
e 23 103
e 23 34
e 23 118
e 24 60
e 24 98
e 24 110
e 25 61
e 25 84
e 25 70
e 26 63
e 26 100
e 27 85
e 27 30
e 28 106
e 28 100
e 28 63
e 29 51
e 29 102
e 29 46
e 30 123
e 30 115
e 31 102
e 31 95
e 32 69
e 32 108
e 32 128
e 33 58
e 33 59
e 34 103
e 34 120
e 35 37
e 35 116
e 36 91
e 36 128
e 36 124
e 37 68
e 38 107
e 38 48
e 38 76
e 39 112
e 39 44
e 40 109
e 41 82
e 42 52
e 42 74
e 42 122
e 43 55
e 43 94
e 43 126
e 44 125
e 44 72
e 45 124
e 46 95
e 47 120
e 47 73
e 47 125
e 48 76
e 48 114
e 49 55
e 49 126
e 50 111
e 50 104
e 50 119
e 51 57
e 51 81
e 52 65
e 52 74
e 53 104
e 53 106
e 54 80
e 54 79
e 55 71
e 56 116
e 56 68
e 56 67
e 57 81
e 57 86
e 58 96
e 59 91
e 60 110
e 60 61

e 62 87
e 62 92
e 63 100
e 64 89
e 64 101
e 64 97

e 66 88
e 66 105
e 66 78
e 67 112
e 67 125
e 68 72
e 69 124

e 71 94
e 71 77
e 72 73


e 75 93
e 75 96
e 75 91
e 76 114

e 78 105
e 78 88
e 79 113
e 80 97
e 81 107

e 83 107
e 83 95
e 83 86
e 84 98
e 84 87

e 86 128
e 87 104

e 89 99
e 89 101
e 90 108
e 90 93

e 92 98
e 93 96
e 94 113




e 99 101
e 99 127





e 105 117


e 108 122


e 111 119
e 111 127
e 112 121
e 113 117



e 117 121

e 119 127









